text,label,target_name,input_id
"
[ ... my stuff deleted ... ]


Bill, you seem to have erroneously assumed that this board has as its
sole purpose the validation of atheism.  It doesn't.  This board is
used to discuss atheism as a philosophy, to share posters' experiences
regarding atheism, to debunk various theisms and theism as a whole, to
share resources relating to atheism, and even to socialize with others
with similar views.  And of course with the number of theists who come
here to preach, it is also used to argue the case for atheism. 



If you want to accuse people of lying, please do so directly.  The
phrase ""deliberately mistaken"" is rather oxymoronic.

 

The two forms of theism most often discussed here these days are
Christianity and Islam.  Both of these claim to make their followers
into good people, and claim that much of benefit to humanity has been
accomplished through their faiths.  IMHO they are right.  The American
Friends Service Committee (Quaker), Catholic Relief Services, Bread
For The World, Salvation Army soup kitchens, and Mother Theresa spring
to mind.  (Can someone with more knowledge of Islam supply the names
of some analagous Islamic groups?)  

When Mother Theresa claims that her work is an outgrowth of her
Christianity, I believe her.  Her form of theism ascribes to her deity
such a benevolence toward humanity that it would be wrong not to care
for those in need.  The point is that such a philosophy does have the
power to change the behavior of individuals;  if it is widespread
enough, it can change societies.

The same works for the horrors of history.  To claim that Christianity
had little to do with the Crusades or the Inquisition is to deny the
awesome power that comes from faith in an absolute.  What it seems you
are doing twisting the reasonable statement that religion was never
the solitary cause of any evil into the unreasonable statement that
religion has had no evil impacts on history.  That is absurd.",0,alt.atheism,doc_01531
"(Dear Moderator: Would you add this to the BCC faq?)

In case there are any ex-members of the ""Boston Church of Christ""
looking for a support organization, here's the number of ""BostonEX"" in
Burlington, MA: 617-272-1955.

--------

s.r.c readers in New England may be interested in seeing a series of
news reports about the BCC in the 6 pm nightly news on Channel 5
(WCVB, Boston), for the next few days (starting Wed, 5/19).",1,soc.religion.christian,doc_00779
"

What?  Absolutely not.  No way.  Asimov was a lifelong atheist, and
said so many times, right until his death.  Judging from the many
stories he told about his own life, he felt culturally closest to
Judaism, which makes sense. He was born Jewish.",0,alt.atheism,doc_00009
"
As far as I know, tigers are not sentient.  If I were pushed into a pool with
some dolphins and they attacked me, I might be inclined to blame the dolphins
rather than the person doing the pushing, as (a) dolphins are not usually
aggressive and (b) they seem to have well-developed brains and a capacity for
abstract thought.

As a matter of fact, tigers rarely attack humans unless the human provokes
them.  Of course, if they are in a cage which is far too small, that might
count as provocation...
",0,alt.atheism,doc_00284
"Hello,

  I have seen two common threads running through postings by atheists on the 
newsgroup, and I think that they can be used to explain each other.  
Unfortunately I don't have direct quotes handy...

1) Atheists believe that when they die, they die forever.

2) A god who would condemn those who fail to believe in him to eternal death
   is unfair.

  I don't see what the problem is!  To Christians, Hell is, by definition, 
eternal death--exactly what atheists are expecting when they die.  There's no
reason Hell has to be especially awful--to most people, eternal death is bad
enough.
  Literal interpreters of the Bible will have a problem with this view, since
the Bible talks about the fires of Hell and such.  Personally, I don't think
that people in Hell will be thrust into flame any more than I expect to Jesus
with a double-edged sword issuing from his mouth--I treat both these statements
as metaphorical.",1,soc.religion.christian,doc_00316
"



Now this is getting interesting!

I was raised Roman Catholic before becoming an atheist, so I have stated
this Creed you quote nearly every Sunday until I was about 18.  For some
reason, I always took the 'resurrection' in this statement to mean the
resurrection of the soul, but I guess resurrection does strictly mean
the raising of the physical body.  I have some questions on this point:

1.  I always thought that Christians believe the descent into hell was 
pretty much immediate, and that there are people burning in hell right
now.  You seem to be implying that it will not occur until after the
""great judgement"" (which I read as meaning the proverbial Judgment Day).
I was always a little confused on this point, even when I was with the
church -- maybe someone can clear it up for me.  Where will my ""soul""
(which, by the way, I don't believe in) exist until that time?

2.  Will the new body I will have be created out of the same atoms 
that my body now is made of, or will it be built from scratch?  My
physical body now is susceptible to aging, etc. -- so I guess my
new body will have to be radically different in order to be immortal
so it can be tortured for all eternity?

3.  Since I will have a physical body, I assume it will need a physical
place to exist in -- where is this hell?  In the center of the earth?
Do you think we could find it if we dig?

Mark Schnitzius
schnitzi@eola.cs.ucf.edu
Univ. of Central Florida

[There is not complete agreement on the details of the afterlife.  I
think the most common view is that final disposition does not occur
until a final judgement, which is still in the future.  In the
meantime, some believe that people ""sleep"" until the final
resurrection (or because God is above time, pass directly from death
to the future time when the resurrection occurs), while others believe
that souls have a disembodied, pre-resurrection existence until then.
There are probably other alternatives that I'm omitting.

The new body is generally conceived of being implemented in a
different ""technology"" than the current one, one which is not mortal.
(Paul talks about the mortal being raised to immortality, and Jesus'
resurrected body -- which is the first example -- clearly was not
subject to the same kind of limitations as ours.)  It is assumed that
there are enough similarities that people will recognize each other,
but I don't think most people claim to know the details.  I don't
think I'd say it's the same atoms.  I'd assume there would be some
analog of a physical place, but I wouldn't expect to find it under the
earth or up in the sky.  I'd suspect that it's in another dimension,
outside this physical world, or whatever.  But again, we have little
in the way of details.",1,soc.religion.christian,doc_01144
"
You don't need any counterfeit athiest's myth to make religion
appear absurd.  You need only read any of friendly Christian
Bill Conner's posts.
",0,alt.atheism,doc_00658
"

	You have only shown that a vast majority ( if not all ) would
agree to this. However, there is nothing against a subjective majority.

	In any event, I must challenge your assertion. I know many 
societies- heck, many US citizens- willing to trade freedom for ""security"".


--- 

        "" Whatever promises that have been made can than be broken. """,0,alt.atheism,doc_00374
"
It sounds to me like it's just SCREAMING OUT for parody.  Give a copy to your
friendly neighbourhood SubGenius preacher; with luck, he'll run it through the
mental mincer and hand you back an outrageously offensive and gut-bustingly
funny parody you can paste over the originals.

I can see it now:

                               The Stool Scroll
         Thoughts on Religion, Spirituality, and Matters of the Colon

                       (You can use this text to wipe)
",0,alt.atheism,doc_00734
"

Well, Michael,  I don't know if clh has left them in the faq  (Maybe you should
post the ""how to get there map again), but I posted two or three lengthy
exegetical paper on these verses.  They looked at the OT, NT and
intertestimental usages of terms in reference.  I would suggest you read those
before you talk about a ""need"" in exegetical studies.  If those aren't enough,
I could also provide ""The source and NT Meaning of Apsevokoitai"".  Dr James
DeYoung published it in THE MASTERS SEMINARY JOURNAL in fall of '92.  To read
any of these 4 papers shows that the shoe is on the other foot as far as a need
for honest exegesis.

Again, please refer to the faq file, or if you are unable to acess it, drop me
a line and I will enclose them to you.

Rexlex@fnal.fnal.gov ",1,soc.religion.christian,doc_00972
